date,favorite_count,retweet_count,text
2017-06-08 16:30:56,9,3,".@AhnforCA34 Campaign Cites Anomalies in 34TH Congressional District Vote; Over 10,000 Ballots Yet to Be Counted… https://t.co/6qJQPfh57a"
2017-06-07 03:40:17,7,5,The polls have officially closed and it's time to celebrate. Join @AhnforCA34 &amp; #TeamAhn tonight for a victory cele… https://t.co/5WuiQer6vP
2017-06-07 03:24:04,0,2,RT @MKhattib: #CA34 voting is closed and now the suspense begins. Time to cruise over to La Fonda and join the @AhnforCA34 crowd for a vict…
2017-06-07 03:18:19,0,9,"RT @cmaiduc: First CA34 results are in: With 18,794 mail ballots, Gomez &amp; Ahn are neck and neck https://t.co/BW5oK3vjKA"
2017-06-07 03:17:48,3,3,"The polls have officially closed, check back here through-out the evening for real-time updates.... https://t.co/HB8nmd2GpE"
2017-06-07 03:09:47,0,5,RT @cmaiduc: Polls are closed and our CA34 results page is live! https://t.co/73GNgZ6GNK https://t.co/yEX0IWivUl
2017-06-07 02:52:05,0,3,RT @MKhattib: #CA34 race is finally coming to a close and crossing fingers for @AhnforCA34 Be great for Dems to have a Korean to push @POTU…
2017-06-07 02:49:24,0,3,"RT @AhnforCA34: Join us in making history, VOTE for @AhnforCA34 for Congress before it's too late. Polls open till 8pm... https://t.co/5yEE…"
2017-06-07 02:48:25,0,3,"RT @KimHarlan: #CA34: Gomez is funded by Monsanto, Big Pharma, payday lenders that prey on poor &amp; he voted to raise gas tax .12/gal   Vote…"
2017-06-07 02:48:19,0,3,RT @marapineda: @AhnforCA34 I voted Ahn!
2017-06-07 02:48:01,0,4,"RT @cmaiduc: T-30 minutes til polls close in CA34! @LATseema and @jpanzar are heading to @JimmyGomezCA @AhnforCA34 parties soon, follow the…"
2017-06-07 02:35:03,2,1,"It's #ElectionDay! If you live within #CD34, be sure to VOTE for @AhnforCA34 for Congress &amp; join us tonight for the… https://t.co/lNKPHMsGZ1"
2017-06-07 02:32:24,3,3,"Join us in making history, VOTE for @AhnforCA34 for Congress before it's too late. Polls open till 8pm...… https://t.co/p1WVKvQXql"
2017-06-07 02:20:07,2,1,"Join us in making history, VOTE for Robert Lee Ahn for Congress before it's too late.  Polls open till 8pm... https://t.co/5yEEYMTAiT"
2017-06-07 02:06:28,0,4,RT @GMcFaddenEsq: #CA34 @AhnforCA34 is running and representing #USCLaw. I hope the #GOTV machine is working overtime 2nite. #FightOn
2017-06-07 02:00:23,1,1,"Today's #ElectionDay! If you live in #CD34, be sure to VOTE for @AhnforCA34for congress &amp; join us tonight for the... https://t.co/Kumf5SAocb"
2017-06-07 02:00:16,1,2,"Today's #ElectionDay! If you live in #CD34, be sure to VOTE for @AhnforCA34for congress &amp; join us tonight for the E… https://t.co/vucLql6CNy"
2017-06-07 01:51:41,4,1,"I humbly ask for your VOTE TODAY, I will fight for YOU in #Washington. #VoteAhn TODAY June 6th, polls open till 8pm… https://t.co/BsF9KGAyIv"
2017-06-07 01:36:23,0,2,"RT @daniel4justice: @JoeBlowLA @AhnforCA34 @SenSanders I looked into the voting record of @JimmyGomezCA, and nothing matches our progressiv…"
2017-06-07 01:34:54,4,2,"Hey #LosAngeles, if you live within #CD34 TODAY is #ElectionDay. Vote @AhnforCA34 for Congress, our #BestChoice to… https://t.co/E0wEotAoki"
2017-06-07 01:07:34,0,4,RT @lexbarbershop: #CA34 results for @JimmyGomezCA vs. @AhnforCA34 will be posted here once precincts close! https://t.co/OIl05m7Xgm
2017-06-07 01:07:11,0,3,RT @daniel4justice: @AhnforCA34 I am tired of politicians adding to the complication of law for the sake of creating laws.No more establish…
2017-06-07 01:05:44,0,2,RT @daniel4justice: Vote @AhnforCA34 if you live in the blue parts of the map. Jimmy Gomez is another establishment democrat who authored W…
2017-06-07 01:00:50,6,2,"Hey #CD34, it's #ElectionDay, get out &amp; VOTE @AhnforCA34 for Congress today. It's not too late, polls open till 8pm… https://t.co/kGe4feyscF"
2017-06-07 00:43:36,6,8,"Hey #LosAngeles, if you live within #CD34 TODAY is #ElectionDay. Get out before DINNER &amp; VOTE @AhnforCA34 for Congr… https://t.co/a0kpjLZAh7"
2017-06-07 00:20:51,11,3,"I humbly ask for your VOTE TODAY, I will fight for YOU in #Washington. #VoteAhn TODAY June 6th, polls open till 8pm… https://t.co/U4GAxuP9c3"
2017-06-07 00:07:18,13,18,"Psst, you still have time to have your voice heard. 3 hours left to VOTE @AhnforCA34 for Congress, our #BestChoice.… https://t.co/aN4GjVPRKZ"
2017-06-06 23:57:25,0,4,"RT @AhnforCA34: ""My opponent is a professional politician. He's well-funded by special interest &amp; the likes of Wells Fargo,... https://t.co…"
2017-06-06 23:56:14,0,2,RT @Moonglo247: @GFBLA @AhnforCA34 got my vote :) https://t.co/YAVnYz3M5X
2017-06-06 23:55:18,14,4,"""My opponent is a professional politician. He's well-funded by special interest &amp; the likes of Wells Fargo,...… https://t.co/IR33j48oS3"
2017-06-06 23:38:38,0,2,"RT @cmaiduc: @jpanzar Skiles said he liked Gomez but thought he was ""too connected"" to politics."" Ahn would bring a ""fresh approach"""
2017-06-06 23:38:21,0,2,"RT @cmaiduc: Tom Skiles, 74, and his wife voted for Ahn also. ""I'm gonna give him a chance. If he gets on plate and strikes out, he's gone.…"
2017-06-06 23:38:13,0,3,"RT @cmaiduc: Haru Miyazaki, 74, also an Ahn voter. ""The main thing is I thought we should represent the different people here,"" but both ""p…"
2017-06-06 23:37:45,0,4,"RT @cmaiduc: Seth Lewandowski, 35, said this was toughest choice in recent memory. ""For me, it was the flip of a coin."" Voted Ahn because ""…"
2017-06-06 23:37:29,0,4,"RT @cmaiduc: Huong Nguyen, 34, is a Dem but said she liked Ahn's outsider status. ""I just wanted to vote against the guy who was backed by…"
2017-06-06 23:29:12,13,5,Still indecisive who to vote TODAY in the #CD34 Congressional Runoff? Listen to Robert’s persuasive closing... https://t.co/3ZkQulOLlE
2017-06-06 23:09:11,13,2,"LA's congressional election: #Ahn &amp; Gomez get last-minute campaigning in: https://t.co/uP2D776VQn. Polls open till 8pm, get out &amp; #VoteAhn"
2017-06-06 23:01:15,11,5,"Want to VOTE TODAY but you need a ride? Give us a call; we’ll get you to the polls. Polls open TODAY til 8pm, get..… https://t.co/c0dF9mvoRa"
2017-06-06 22:46:58,12,1,"Retweeted David Syner (@DavidSyner):

ALL Elections Matter
Vote Californians 🌴☀️Today
34th Congressional District... https://t.co/F4G4HtCzsD"
