date,favorite_count,retweet_count,text
2018-09-09 15:27:43,1740,288,😂✊🏾 https://t.co/g17jEaLD9Q
2018-09-09 13:32:42,0,122,"RT @shellynnrn: Duval County, as expected, turned out close to 100 volunteers today! We called, texted, and canvassed! People power bringin…"
2018-09-09 04:10:43,0,198,RT @CarlosGSmith: #BringItHome ✊🏻✊🏼✊🏽✊🏾🌊 #GillumForGovernor https://t.co/ZP9aFDchhw
2018-09-09 02:14:21,15573,6026,This is an environmental disaster on Rick Scott’s watch. I promise to help clean it up as your next Governor. https://t.co/dsZn4wwGRN
2018-09-09 01:33:06,11922,5870,"I have a theory about why @realDonaldTrump won't @ me...

RT if you agree. https://t.co/pZZOsW4vww"
2018-09-09 00:35:40,13639,3543,"We are going to make Florida a state where healthcare is treated like a right, not a privilege. https://t.co/54WVbyGNJ4"
2018-09-08 23:25:22,8655,2214,"I don't just believe that we will win.

I KNOW that we will — because of our people-power. 

Let's #BringItHome, Fl… https://t.co/90KYoolqXn"
2018-09-08 21:32:00,0,166,"RT @asweetvictori: An incredible opportunity, an incredible gubernatorial ticket! So ready to vote @AndrewGillum @ChrisKingFL #BringItHome…"
2018-09-08 20:01:02,4861,1609,"If you haven't joined our movement yet, now is the time! Visit https://t.co/qJzyk76aWi to join the campaign, make a… https://t.co/NqrAloQ1ws"
2018-09-08 19:15:10,0,180,RT @DarrenSoto: What an exciting Democratic Ticket! @AndrewGillum @NelsonForSenate &amp; @ChrisKingFL ask supporters to help #BringItHome https…
2018-09-08 18:09:41,8173,2263,"This is how we #BringItHome, Florida! https://t.co/6CGW4sD5Jz"
2018-09-08 18:00:15,0,260,"RT @ChrisKingFL: Hello, Orlando! It’s great to be back home again. Florida, let’s #BringItHome. https://t.co/wxc0WiHOK3"
2018-09-08 16:54:11,0,158,RT @inertaccount: So what you can and help #BringItHome #GillumKing #GillumForGovernor #GillumKingFL @AndrewGillum #FLVetsForGillum @ChrisK…
2018-09-08 16:26:47,2470,539,30 minutes from our first general election rally... https://t.co/0tNi2d0E9u
2018-09-08 16:25:36,0,215,RT @SamuelDElswick: @FlaDems @votesanjaypatel @NHd54 Lines at Gillum &amp; King kickoff at Downtown Orlando Recreation Center. A wave is coming…
2018-09-08 15:39:43,0,119,"RT @tess_r_martin: About to officially kickoff the #TeamGillumKing ticket here in Orlando! Let's bring it home, @AndrewGillum and @ChrisKin…"
2018-09-08 15:26:26,0,251,RT @ajim1979: Standing room only in Naples at @AndrewGillum kick off.  #BringItHome https://t.co/b9Bu0hhZlP
2018-09-08 14:12:58,989,307,RT if @ChrisKingFL &amp; I will see you in Orlando today! Bring your families &amp; friends as we #BringItHome. RSVP link:… https://t.co/M42Bxsv7iK
2018-09-08 01:51:38,0,238,RT @RyanProgress: Team Tallahassee kicked-off a weekend of action by talking to voters about electing @AndrewGillum and @ChrisKingFL our ne…
2018-09-07 22:49:33,0,1098,RT @AndrewGillum: Join us for the Gillum-King Kick-Off tomorrow in Orlando! Bring your families as we unite Florida and #BringItHome. RSVP…
2018-09-07 22:16:15,0,163,RT @WFTV: Democratic candidate for governor @AndrewGillum and running mate @ChrisKingFL are coming to Orlando this weekend. https://t.co/kV…
