date,favorite_count,retweet_count,text
2018-09-08 21:34:07,163,113,Traveling around the fifth district today. From a wonderful “Democrats &amp; Donuts” rally in Indian Land to the York A… https://t.co/F0vQYnevpr
2018-09-08 15:08:39,134,141,"As @RepRalphNorman points out, what @realDonaldTrump says and what he does are very different. He thinks that’s a g… https://t.co/g5qoG5mxjs"
2018-09-07 17:12:19,162,125,"It was hot and humid at our Winnsboro fish fry last night, but we kept happy and cool with our fans.  Come November… https://t.co/3PsDf7Tz1x"
2018-09-05 17:38:37,227,125,I spoke at the York County Democratic Party Forum last night. Not an empty seat in the room. Incredibly grateful fo… https://t.co/Z1KaXrOsTJ
2018-09-05 16:29:28,209,164,"When family farmers are on food stamps, we have a real problem. There is a better way. Retaliatory tariffs only mak… https://t.co/m8qRSQVcx1"
2018-09-03 22:39:39,249,166,"In honor of everyone who has stood up for fair wages and safe working conditions across the generations, Happy Labo… https://t.co/bGgeem5rgL"
2018-09-03 19:50:17,92,70,“The rain in Spain falls mainly on the plain” -- but last night it fell mainly on Main in Rock Hill raining out the… https://t.co/iCiwG4gNBL
2018-09-03 02:55:20,361,277,"Please read and share my Op-Ed from this morning’s Rock Hill Herald. We should strive for tax fairness, not disprop… https://t.co/7NYf9eylac"
2018-09-01 23:00:51,216,180,More proof that when ⁦@realDonaldTrump⁩ and ⁦@RepRalphNorman⁩ say something is “great” working folks should be conc… https://t.co/ZMJapzt19k
2018-09-01 15:40:07,166,109,Awesome events in Fairfield and Chester yesterday. Democrats are making it happen! #FlipSCBlue https://t.co/N4Z5jqgqqm
2018-08-31 16:28:23,660,477,"Benghazi Investigation: 25 months and zero indictments.

Mueller Investigation: 15 months with 36 indictments, six… https://t.co/pgZTqy5d1U"
2018-08-29 23:14:55,371,287,We need better policies to help those who are struggling.  It’s not a zero-sum game -- we all do better when people… https://t.co/HLGPzKTyt2
2018-08-28 15:23:14,416,342,"When they start thinking about regulating Google searches, how long is it before they come after you? https://t.co/mZhQlaJeTZ"
2018-08-28 01:32:30,283,232,Mulvaney and Trump choose predatory lenders over vulnerable students. I guess I shouldn’t be surprised. https://t.co/OuQmRwW8on
2018-08-27 20:15:32,198,165,Here’s an interview I did with Rock Hill news station Cn2 right after President Trump sided with Putin in Helsinki… https://t.co/YVYZT02cL7
2018-08-27 01:15:54,143,96,A big thank you to our volunteers who donated their time to support our booth at York SummerFest! We met hundreds o… https://t.co/m8QdRSVF2z
