date,favorite_count,retweet_count,text
2018-09-05 18:34:01,44,13,"We are so honored to have President Trump back in Montana tomorrow!

Please sign up for the rally and join us in Bi… https://t.co/eQlZ6CZyrM"
2018-09-05 16:46:41,51,14,Taxes are down. Unemployment is down. Wages are up. I'm working with President Trump for a strong economy for all.… https://t.co/pq3ueuhlyF
2018-07-27 18:28:55,38,13,"Under President Trump's leadership, we are winning for the American people. Once again the economy is being unleash… https://t.co/MvscqwlH3X"
2018-07-25 15:00:00,38,13,"Welcome back to Montana, @VP Pence! From slashing taxes, to keeping our nation safe, your leadership is making a difference for Montana."
2018-07-23 15:00:00,17,6,"The direction of our country will be decided in the coming months, and I want to make sure our voice is heard. Will… https://t.co/Qb7J588URF"
2018-07-18 19:00:02,34,10,"Montana is our home, and our Montana values make it special. I’m standing up for what we believe in, and I will mak… https://t.co/Z4LUZJbnLi"
2018-07-12 18:00:00,28,12,I wasn’t sent to Washington to make friends or to get cozy in the swamp. I went there to put Montana first and prot… https://t.co/PCTEtGnMvE
2018-07-10 19:37:02,27,14,Judge Kavanaugh will be strong addition to the Supreme Court and a worthy replacement for Justice Kennedy. An excel… https://t.co/DcxalUR9MG
2018-07-06 00:18:31,63,12,Together we are Making America Great Again! What an honor to be with President Donald J. Trump in Great Falls this… https://t.co/mgZQCBylrk
2018-07-05 15:00:00,28,5,President Trump is standing up for Montana values. I’m proud to welcome him back to our great state today. Stand with us →
2018-07-04 16:40:17,25,0,"Today we celebrate everything that makes our country great, and the American heroes who made it all possible. We li… https://t.co/CUw3Fr4473"
2018-07-03 17:27:25,22,5,Looking forward to welcoming our Commander in Chief to our great state on Thursday. Join us →
2018-06-22 18:00:00,1913,381,"Welcome back to Big Sky Country, @DonaldJTrumpJr. Thank you for standing with us!"
2017-06-15 21:56:13,188,40,I’m ready to go to work and serve the people of Montana! https://t.co/fWwi3E2bo5
2017-06-15 20:44:25,97,17,It was an honor to present these pins to our Vietnam veterans. Welcome home and thank you for your service. https://t.co/rfLchIwuZh
2017-06-15 18:27:22,140,16,I delivered my first official speech today since being elected Congressman at the VFW State Convention in Billings.… https://t.co/KQCbji7LHy
2017-06-14 14:10:56,116,20,"My heart broke with news of this morning’s shooting. Susan and I are praying for @SteveScalise, staff, and the @CapitolPolice."
2017-06-10 20:58:54,67,9,Proud to be here in Billings for the @MTGOP State Convention! #UnitedWeStand https://t.co/9Y1zo6l1mS
2017-05-29 18:01:01,238,40,Truly thankful to all the men and women who gave their lives to defend our country &amp; protect our freedoms #MemorialDay #USA
2017-05-26 06:12:46,1622,243,Thank you @RobQuistforMT for a spirited race; I promise to listen to the voices of all Montanans -Greg #mtpol
2017-05-26 05:11:21,15125,4228,"Thank you, Montana. I am humbled by this incredible honor. I will always be on Montana's side. https://t.co/yZtYbPtRAl"
2017-05-24 22:48:23,3174,1160,"I will defend the Second Amendment, and our access to public lands. https://t.co/by6FguoTFU"
2017-05-24 21:02:22,470,143,It was great seeing everyone in Helena today! #GOTV #mtpol https://t.co/hqvmHLSdsj
2017-05-24 19:54:15,287,62,Incredible turnout in Helena! #GOTV #mtpol https://t.co/jQ1lTaqqQR
2017-05-24 15:49:05,313,143,"What an incredible honor to be endorsed by three of MT’s biggest
newspapers. Thank you @missoulian @billingsgazette… https://t.co/pRFj9Cmf8q"
2017-05-24 15:48:44,156,40,Thank you to all who came out in Missoula this morning! #GOTV #mtpol https://t.co/wKKEdZbbjD
2017-05-24 03:31:54,139,44,Thank you Kalispell for a great evening! #GOTV #mtpol https://t.co/xsyU33fsFr
2017-05-23 22:53:44,143,49,What a warm welcome in Hamilton today! #GOTV #mtpol https://t.co/Vj8krU7gMY
2017-05-23 19:21:53,150,68,Support is strong in Ravalli County! #GOTV #mtpol https://t.co/TFcdxf8YfC
2017-05-23 16:38:02,98,37,Great turnout in Great Falls! Encouraged by your support! #GOTV #mtpol https://t.co/LWgy33UeBu
2017-05-23 15:25:16,70,20,"Sarge and Troy, thanks for having me on this morning. #WhenInGreatFalls #GOTV #mtpol https://t.co/MqNhIiNVlX"
2017-05-23 13:27:46,73,19,Appreciate​ seeing everyone last night in Billings! #GOTV #mtpol https://t.co/mTcizPMh2n
2017-05-22 23:38:30,89,33,The path to job creation starts with protecting small businesses like the ones I visited today in Billings.… https://t.co/SkLuDkr9Ud
2017-05-22 22:58:15,75,25,Thank you @SteveDaines for all your support! https://t.co/D7jY8hgcUP
2017-05-22 21:38:36,50,9,Had a great time at the Billings Rotary Club today. Thank you for having me! https://t.co/RS5wPKH8hd
2017-05-22 18:59:19,42,8,Breakfast in Billings? Stella’s is a must. Great food. Great people. #WhenInBillings #mtpol https://t.co/zE3eItnwM5
2017-05-22 17:49:04,50,13,Thank you @406Arneson for having me on @VoicesofMT! #WhenInBillings #mtpol https://t.co/0CL3Gz7ozc
2017-05-22 16:36:16,39,3,Thanks for having me on @CatCountry1029 this morning. Always enjoy talking with you guys. https://t.co/CnAHyloDCw
2017-05-21 22:23:21,59,15,Wonderful time at the #BuckingHorseSale this weekend! #mtpol https://t.co/7oJtfs2UNC
2017-05-21 00:42:50,0,52,RT @gianforte: Me with Cooper the Miles City Bucking Horse Mutton Busting Champion and his new championship buckle. (He told me he practice…
2017-05-20 16:27:05,48,11,Thank you to all our brave servicemen and women. We are eternally grateful for your dedication and sacrifice. #ArmedForcesDay
2017-05-20 16:25:51,41,14,Great to be back in Miles City for the Bucking Horse Sale! #mtpol https://t.co/33usBljYhj
2017-05-20 13:35:20,38,7,Thank you for a great day in Crow Agency! #mtpol https://t.co/2O5VyyxRF4
2017-05-20 03:02:36,49,17,Honored to have these endorsements #mtpol https://t.co/RATeq3y9ay
2017-05-19 20:15:30,35,16,Thank you Montana Logging Association for having me to speak at your convention luncheon today! https://t.co/Z1WgGvbZgY
2017-05-19 16:26:14,28,16,"It’s the final stretch, and I need your help! Sign up to help: https://t.co/wKDIaNk1UT"
2017-05-18 20:52:47,60,26,Susan and I made our votes official today. Have you voted yet? Learn how: https://t.co/wTqYGEA1Vw https://t.co/Xt15D6d8Xv
2017-05-18 03:19:13,46,12,Beautiful ceremony. Incredible people. Congrats to all the athletes competing in the Special Olympics! https://t.co/b8yntjNbzT
2017-05-17 17:53:54,38,15,Had a great visit with the Confederated Salish and Kootenai Tribes yesterday! https://t.co/JQjeP3gIZL
2017-05-16 21:51:36,50,18,"There’s a lot of work to be done, but I’m ready for the challenge. Proud to have the endorsement of the @missoulian. https://t.co/QQSWSKyZC7"
2017-05-16 18:24:19,52,16,Proud to receive the endorsement of the NFIB at Ron Terry Construction in Kalispell. https://t.co/jbm4b8SGxf
2017-05-16 17:14:16,34,5,"Please join Susan and I in praying for the Broadwater County Sheriff’s office and the fallen deputy's family.
https://t.co/G1q8O9zJP2"
2017-05-16 15:09:40,25,4,Good morning Kalispell! Did you catch my interview on @KGEZ1? https://t.co/dZsVrsV8UT
2017-05-16 01:35:25,104,27,Thank you for your endorsement @helenaironline. I will always fight for our Montana way of life. https://t.co/Nyvdh89Vpa
2017-05-15 22:25:11,42,16,It’s an honor to have earned the endorsement of the @billingsgazette https://t.co/fo0JZqO6nh
2017-05-14 20:38:16,35,5,Congrats to all the runners this morning at the @HAVENMT Mother's Day 5K in Bozeman! https://t.co/zHOaAii8o5
2017-05-14 18:25:37,37,8,It was a beautiful morning yesterday cheering on all the runners at the Montana Women's Run in Billings! https://t.co/5kAdeLVjOD
2017-05-14 14:19:50,0,16,RT @gianforte: Happy Mother's Day all Moms! My mom grew up on a dairy farm and taught math at a public HS while raising me and my brothers.…
2017-05-14 01:54:26,0,21,"RT @MTGOP: Thank you @VP Pence, @Interior Sec @RyanZinke and Sen @SteveDaines! Get out and vote for @GregForMontana on May 25! #mtpol https…"
2017-05-13 20:39:52,0,2637,RT @mike_pence: Thank you Montana for helping make @realDonaldTrump the 45th President of the United States 🇺🇸. Let's send Greg Gianforte t…
2017-05-13 05:31:32,0,29,RT @SteveDaines: Thumbs up for a great day in Montana with @VP &amp; @GregForMontana! https://t.co/n9yH7JhdiF
2017-05-13 01:40:01,50,12,Onward to victory! #mtpol https://t.co/AvT1aSiCmm
2017-05-13 01:30:43,0,41,RT @RyanZinke: In good company-rallying the grassroots for @GregForMontana #gotv @mike_pence @SteveDaines #mtpol https://t.co/t2zaWjRe5B
2017-05-13 01:13:53,32,8,"""America is back under @realDonaldTrump"" -@VP #mtpol https://t.co/bOVmclew6U"
2017-05-13 01:11:12,34,13,Welcome back to Montana @VP! #mtpol https://t.co/Tu9dvqCbRX
2017-05-13 01:05:50,32,6,I will always be on Montana's side! #mtpol https://t.co/GZJ4zsamMn
