date,favorite_count,retweet_count,text
2018-09-09 14:34:15,0,7,RT @heminwayjen: This 👇is why you need to #VoteLikeYourLifeDependsOnIt because for many of your fellow Americans - it does. I'll be voting…
2018-09-09 05:09:15,0,0,@Benny05 Thank you Benny!
2018-09-09 05:09:03,0,4,RT @Benny05: @JamesThompsonKS  Ditto.  I too sent you a little change as I believe in you and what you can do for KS &amp; the USA.  Keep fight…
2018-09-09 01:09:21,1,1,@KSITESL @BWhippleKS @HilliardForCong That is awesome Karen!  Keep up the great work.  Sounds like you may singleha… https://t.co/yRprsaOx1J
2018-09-09 00:18:35,2,1,@KSITESL @BWhippleKS Thank you Karen! I sincerely appreciate you support.  We are within 4 points!  We can win this… https://t.co/vRSp3Fa5Ur
2018-09-09 00:16:37,0,2,"RT @KSITESL: @JamesThompsonKS @BWhippleKS Donation headed your way James. I’ve donated before &amp; wish to do more. To help in any way, get yo…"
2018-09-08 23:55:57,0,2,RT @KSITESL: @JamesThompsonKS @BWhippleKS I 💙 &amp; Proudly Support James Thompson Candidate for U.S. Congress KS04 💪💙🇺🇸
2018-09-08 18:47:08,0,12,RT @BWhippleKS: It is an absolute honor to welcome @JamesThompsonKS and his volunteers to the 96th district! Both our campaign teams are ou…
2018-09-08 16:44:47,50,12,#ThompsonArmy is out canvassing today with @BWhippleKS for our first Joint Day of Action. Let’s get out the vote fo… https://t.co/D4zkNDtsDz
2018-09-08 16:39:49,171,57,"Proud to speak to Local Machinist Lodge #839!  Great questions!  
So glad to hear Local #708, who I walked the line… https://t.co/OgAIz03tRG"
2018-09-07 23:22:01,1,0,@thatgamerm0m Thank you!!
2018-09-07 23:19:45,51,21,Ron better get used to these results.  This is from the conservative Wichita Business Journal. Does not bode well f… https://t.co/bQF74zQLRO
2018-09-07 21:57:29,141,70,"College isn't for everyone, and it can't be the only pathway into a good life. We must make education from K-12 and… https://t.co/dMlaHVYst7"
2018-09-07 21:30:58,15,9,"Come on down to the office and join us on Fun Fridays! Every Friday volunteers gather to stuff envelopes, make sign… https://t.co/X1ZSufmEpN"
2018-09-07 18:43:58,61,25,"Today I had the privilege of helping welcome veterans home from their Honor Flights.

@KSHonorFlight transports our… https://t.co/plhRy3vcad"
2018-09-07 15:00:37,17,5,Thank you to the BLEF for your endorsement! #UnionStrong #ksleg https://t.co/eCfacWYtJd
2018-09-06 23:44:37,24,19,Fight for America. Join the Thompson Army! Volunteer HERE&gt;&gt; https://t.co/2pXmfAKhnV Contribute HERE&gt;&gt;… https://t.co/imZrGjU9Oa
2018-09-06 22:50:52,17,7,"Great story in the Kiowa County Signal! We spent the day in Greensburg on our way to the Pratt Forum. #ksleg #ks04 

https://t.co/VHBQ0ZSiqg"
2018-09-06 20:21:09,77,28,It's time we had an advocate for sanity in our schools in Washington. I believe testing has gotten out of control i… https://t.co/O4pdr8Ub6X
