date,favorite_count,retweet_count,text
2018-09-09 17:06:31,0,5,"RT @BOLDPAC: Over 400 children still have not been reunited with their parents as a result of Trump’s zero-tolerance policy. 

We must cont…"
2018-09-07 17:34:02,0,5,"RT @thebeatdc: .@HispanicCaucus members @RepGonzalez, @RepEspaillat, and @JimmyGomezCA push the Trump administration to stop denying Americ…"
2018-09-07 11:32:38,0,9,RT @GreenLatinos: “Equity and fairness should be at the heart of all environmental policy” @RepJimmyGomez  Thank you for your leadership!…
2018-09-06 20:34:46,35,3,"Not one of my staffers, who is under 25, knows who #BurtReynolds was... 🤦‍♂️ unAMERICAN I tell you. https://t.co/M8Ll3rqVRd"
2018-09-06 16:34:32,62,14,I stand with Sen. Cory Booker.  The American people have a right to see the documents related to #Kavanaugh and his… https://t.co/zV6XrgU4Db
2018-09-06 02:34:28,24,4,The press outside the #Kavanaugh hearing in the Hart Senate Building. They don’t look like the enemy of the people… https://t.co/6V99S9pwH6
2018-09-05 22:26:19,0,6,"RT @C_Sommerfeldt: “This is the problem with a lot of Republicans, including in the House: they privately say he’s wrong, but they don’t do…"
2018-09-05 13:37:59,13,1,despicable! If Kavanaugh acts like this during confirmation imagine what he will be like if he gets confirmed.… https://t.co/t2kJjjU9fp
2018-09-04 17:56:08,3,1,Happy Birthday Los Angeles! #WeLoveLA https://t.co/rpIvVLD1B2
2018-09-04 03:08:59,0,93,"RT @CA_Dem: Two of these eleven upgraded races are here: #CA45 &amp; #CA50.

That’s why we’ve had organizers on the ground across the state sin…"
2018-08-30 18:33:24,6,3,"What B.S!. . . Republicans and Trump pass a $2 trillion dollar tax cut for the super wealthy and corporations, but… https://t.co/7kMj1O6548"
2018-08-30 02:12:43,31,4,Way to go L.A.! 👊 https://t.co/x44jcYxDnK
2018-08-28 17:56:56,0,6781,"RT @longlivekcx: I turned 18 the day after the shooting at my school. 
Today I voted for the first time. and there’s no good reason for you…"
2018-08-28 17:05:24,6,1,🙌 https://t.co/s0GlXNfc4g
2018-08-28 00:48:56,1,0,Austin 2018! Have you voted yet? There are a couple hours left (polls close 9pm PST). Vote for Austin for Cutest Do… https://t.co/ebkR0P47va
2018-08-27 22:40:10,2,0,An amazing moment in the film! Who hasn't seen #CrazyRichAsians yet? Go see it! https://t.co/CSz7gspIBx
2018-08-27 22:38:07,0,1,RT @CHCI: Help someone register to vote 🗳☑️! #HowYouCouldHelpIn5Words https://t.co/qaKXAWh3wT
2018-08-27 21:36:02,1,0,"""If only we remember that and give each other the benefit of the presumption that we all love our country we will g… https://t.co/cQCkOGk2RW"
2018-08-27 21:36:02,3,0,"""We are three-hundred-and-twenty-five million opinionated, vociferous individuals. We argue and compete and sometim… https://t.co/zzLyWLX7rd"
2018-08-27 21:27:54,5,1,My Hero! https://t.co/nyMSzkUo3d
2018-08-27 18:00:41,0,9,"RT @BOLDPAC: To-do list from now until November 6th: 

🔘 Speak up about the issues you’re passionate about.

🔘 Step up by registering 5 peo…"
2018-08-27 17:59:59,0,0,Vote for Austin! Vote for Austin! #ProudCuteDogParent https://t.co/oW8O1nuvq2
2018-08-27 15:43:07,1,0,@Obrownson Dad jokes.
2018-08-27 13:23:14,9,0,Today’s the last day to Vote for Austin for the 2018 Cutest Dog on Capitol Hill! Polls close at 9pm PST/12am EST. V… https://t.co/N9UNdy4fIj
2018-08-27 01:34:44,8,1,Big thank you to @SierraClubLA_OC for awarding me the 2018 Political Leadership Award. I’m sorry that I couldn’t be… https://t.co/Z9M9r0TWV8
2018-08-26 19:53:55,6,0,Happy National Dog Day! Will you help Austin win the 2018 Cutest Dog on Capitol Hill? VOTE as many times as you can… https://t.co/mRHZmo0iAn
2018-08-26 15:00:32,11,0,Senator McCain led by example by teaching us that representing your constituents means working across the aisle and… https://t.co/64hEkXSbH0
2018-08-26 15:00:32,20,0,"Being a newbie to Congress I never really got to know Senator McCain as a colleague, but the time during the 2008 P… https://t.co/qKD10C9mnq"
2018-08-26 02:36:14,17,2,"Carry on my sweet survivor, carry on my lonely friend
Don't give up on the dream, and don't you let it end.
Carry o… https://t.co/mRw3Q31n5N"
2018-08-26 02:31:49,25,2,Thank you Senator McCain.
2018-08-25 21:24:32,0,11,RT @BOLDPAC: Friendly reminder to those politicians who continue to push Trump's anti-immigrant and anti-working families agenda: over 15.2…
2018-08-25 20:31:37,27,3,"BREAKING NEWS: In the razor sharp race for “Cutest Dog on Capitol Hill,” Austin has just won the endorsement of pow… https://t.co/OIWlJ36Lqn"
2018-08-25 20:27:55,0,2,"RT @janschakowsky: Last year, my dog Ellie won the coveted title of “Cutest Dog on Capitol Hill.” This year, Ellie and I are supporting my…"
2018-08-24 13:59:08,18,9,Thank you @lyft! https://t.co/KputJ23QZE
2018-08-21 01:36:28,0,2,"RT @MetroConnector: Thanks for visiting the project, @RepJimmyGomez! It was a pleasure to show you the progress we've made building new con…"
2018-08-19 04:47:05,0,5,RT @LAPublicLibrary: Congressman Jimmy Gomez held his Town Hall Meeting at the Chinatown Branch Library. The Los Angeles Public Library wel…
2018-08-19 03:48:58,13,9,Thank you @Carecen_LA for inviting me to help kick off the start of your 12 week “Journey for Justice.” Your carava… https://t.co/rC9LZM985e
2018-08-18 19:23:11,11,3,Hiking up @ascothills is a little tough whether you have 4 legs or 2! #CA34 #HikeWithYourCongressmember #mydayinla https://t.co/rVXPg8S9F9
2018-08-17 19:25:27,10,2,"It’s been a busy morning so far. Tour of the @metrolosangeles #regionalconnector , hosted a federal grants workshop… https://t.co/YtFmX4Sqvh"
2018-08-17 03:20:04,36,5,"For the 1st time after being released from prison, William Nguyen, a constituent of mine, shares his story about hi… https://t.co/BGNinqDKfY"
2018-08-17 01:27:59,0,1,RT @ImmFamTogether: We have been posting bonds for women detained in Adelanto. With your help we will post more. https://t.co/3jBBQUc93Z
