date,favorite_count,retweet_count,text
2018-08-15 17:15:21,1,0,@Ho8Go8L1N @only1pthorpe @DanielDaniels @JamesThompsonKS @RepRonEstes @RonEstesKS @only1pthorpe did a good job. Man… https://t.co/dk8iXgAl5f
2018-08-07 14:02:08,19,4,Today is the day! Time to head to the polls. Be like Elise and vote for Laura Lombard! #KS04 #PowertothePolls… https://t.co/BWy0BVHGSB
2018-08-05 22:39:59,0,23,RT @LWV_Wichita: https://t.co/E1WqPcoSLy allows you to see all the candidates on your ballot and compare their answers to questions on the…
2018-08-04 15:47:20,0,0,@jblumyna @Ocasio2018 @SenSanders I appreciate the kind words. You and your friends can help from afar by joining our phone bank team!
2018-08-04 15:42:05,3,3,@jblumyna Proud to be a Democratic candidate! #KS04 #ksleg https://t.co/hpowDdtDDE
2018-08-04 15:36:34,7,4,"Proud to be endorsed by @BuildTheWave whose mission is to help elect strong, progressive, grassroots candidates!  H… https://t.co/YxaJQ1RnuC"
2018-08-04 15:34:32,4,2,Help get out the vote for Laura Lombard!  We need to elect leaders who have the political courage to stand up FOR p… https://t.co/iYQxPGLEKh
2018-07-23 16:07:15,15,6,"Early voting started this morning! Went to vote myself...no lines, no waiting as of 10am. #KS04 #ksleg https://t.co/Wp8Lgv4JwY"
2018-07-23 01:26:05,0,31,"RT @VABVOX: I stand with and for  Democratic and progressive women candidates.

Women are 52% of the population and have only 15% represent…"
2018-07-22 14:26:12,5,2,@55Counties @sharicedavids @SenatorKelly @BrentWelder @JamesThompsonKS I support universal health care and have bee… https://t.co/AzIhDn3NQd
2018-07-21 02:55:37,0,15,RT @femalep: @Ocasio2018 @JamesThompsonKS This is what support for Establishment White Patriarchy and suppression of women candidates runni…
2018-07-20 20:00:41,17,9,Thanks @DougIttner ! https://t.co/7fHFBsor8M
2018-07-19 18:37:34,2,1,"@RonEstesKS , I agree that we should condemn any and all attempts to mislead voters or give any undue advantage to… https://t.co/KyXanvikwQ"
2018-07-19 18:10:46,14,0,"@RonEstesKS @JamesThompsonKS @RonEstesKS , I agree that we should condemn any and all attempts to mislead voters or… https://t.co/Bn3NrfZ5ib"
2018-07-16 15:39:27,79,56,We have seen men running in Dem primaries talk down to women candidates' credentials running for office in KS. I'm… https://t.co/UfjMG7XOks
2018-07-15 20:46:18,0,0,"@cwristen Yes, yes it is!"
2018-07-15 11:17:09,12,7,My campaign continues to travel all over the 4th including stops in Greensburg and Coldwater yesterday as well a re… https://t.co/xww2jK2mev
2018-07-14 00:30:29,19,11,I'm proud to announce the Sustainable Politician Project @sustainable_pp has endorsed my candidacy for the 4th Dist… https://t.co/7RKAHIcSYz
2018-07-13 20:11:12,32,14,I'm proud to announce @KansasEquality has endorsed my candidacy for the Democratic Primary August 7th! I'm honored… https://t.co/aYX3G8rKgV
2018-07-13 18:45:32,21,6,@RonEstesKS @BernieSanders @TheDemocrats @JamesThompsonKS The reality is @RonEstesKS has already SOLD OUT Kansas an… https://t.co/RRRDJqEmaz
2018-07-13 16:36:10,13,11,Sell out? There is a reason why you're called #RubberStampRon. @RonEstesKS @RepRonEstes has ALREADY sold out Kansas… https://t.co/MRkq3xAZrJ
2018-07-12 19:50:55,18,9,Glad to continue to get support from voters here in #KS04 https://t.co/lcXqyWB6d0
2018-07-12 18:54:50,1,0,@kadenjvu Thank you!
2018-07-10 20:24:50,7,4,"#LaurasSolutionsforKS
Our nation’s workers have paid into Social Security and Medicare for decades with the assuran… https://t.co/8OvOl4fPHA"
2018-07-10 19:55:32,3,0,Thank you to everyone who attended our Party to the Polls voter registration event Saturday evening! It was great t… https://t.co/bVS6nc7MoG
2018-07-10 04:48:55,0,9,RT @LauraforKansas: Truly honored to have been selected as the KS-04 Sustainable Politician! https://t.co/CAc9Ias7zn
2018-07-10 03:01:43,18,9,Truly honored to have been selected as the KS-04 Sustainable Politician! https://t.co/CAc9Ias7zn
2018-07-10 02:57:28,0,0,"@sustainable_pp @Jay4Congress Environmental sustainability is a major priority for me, so I am honored to be consid… https://t.co/Y1rjN6kXWm"
2018-07-07 16:49:25,15,9,Current administration is focused on criminalizing immigrants instead of advocating for compassion and inclusivity.… https://t.co/5a9N98rnce
2018-07-05 18:50:31,12,4,"Last Saturday, we Kansans marched in the Equality March for Unity and Pride. We celebrated human rights, respect fo… https://t.co/6XX0696e94"
