date,favorite_count,retweet_count,text
2018-09-06 18:45:59,0,5,"RT @scrnnews: .@RepRalphNorman announces he's helping start up the ""Waste-Cutters Caucus"" in the U.S. House. https://t.co/lAs1rd1br8"
2018-09-05 14:27:34,0,1,RT @drew1220: Join the @chestergop as we welcome @RalphNorman @RepRalphNorman  to Chester on September 18th at 6:30pm (Front Porch) 3072 La…
2018-08-26 18:19:14,9,2,"He was man of conviction and a national hero, both in and out of uniform. https://t.co/OLoEqNpiXw"
2018-08-25 21:08:50,24,1,Such a wide range of emotions on display here.  :)  LOVE family pics like this! https://t.co/9f6Kdnlmaq
2018-08-21 20:23:07,2,0,"My hope for this nation is that we seek to embrace the sanctity of life, and I am grateful for the support of the N… https://t.co/flfBLpWLXC"
2018-08-06 17:44:47,0,16,RT @YorkChairman: York GOP Fundraiser! 8/28 @ 6 pm. BBQ. Great Speakers. Great Republicans. Kick the campaign season off right! @RalphNorma…
2018-07-16 12:57:49,6,2,Who in their right mind sat in a strategy meeting with @Archie4Congress over the weekend and suggested that more… https://t.co/IvQgqYH1PD
2018-07-15 19:31:02,18,5,"Yesterday, I was honored to spend some time in the dunk tank to help raise money for the 809 Foundation.  Please vi… https://t.co/M8SmLR6PeY"
2018-07-13 18:54:13,14,4,".@Archie4Congress whether physical or verbal, abuse is a cowardly attempt to manipulate others. If that's how you t… https://t.co/GRnEkq44yc"
2018-07-12 20:37:02,12,3,".@Archie4Congress, when personal acquaintances describe you as someone who turns ""violent and belligerent within se… https://t.co/lGRYRbamGL"
2018-07-10 23:53:48,20,10,"While I'm happy to highlight the stark differences between the two of us in a public forum, the only debate Mr. Par… https://t.co/GyPnQo29L5"
2018-07-08 00:43:59,0,0,"@PMorris4House70 Without knowing the context, are you having trouble accessing publicly-available resources within… https://t.co/u7gdTmtszW"
2018-07-07 01:14:57,0,0,@PMorris4House70 - Patrick I'm certain you know that's patently false.  If you're having trouble with federal agenc… https://t.co/7E6NpHFTMu
2018-07-06 18:29:59,8,2,Comical that @Archie4Congress would call anyone a liar given his own abysmal failures to be truthful.… https://t.co/mQWqfXrkFF
2018-07-03 20:30:43,24,7,Our Declaration of Independence gave birth to this great nation in 1776 and provided much of the spirit that would… https://t.co/KkHGuczgQD
