date,favorite_count,retweet_count,text
2018-05-14 20:02:27,33,7,I support @AndyShirtliff for Montana Public Service Commissioner #5. Read my official endorsement here. . https://t.co/Y23IGWsamL
2017-12-22 21:24:56,109,55,Want to get big money and secret money out of our elections? Then let's get these #BigMoney20 candidates out of off… https://t.co/4ElMNnnirg
2017-05-26 05:41:46,18949,3743,"Thank you to everyone who came out to support our campaign. Know your voices were heard, and don’t give up the fight."
2017-05-26 01:45:17,1990,987,"If you're in line at your polling location, you can still vote! Stay in line—and call our hotline with any question… https://t.co/RKw27PsviA"
2017-05-26 01:13:11,544,249,"Montana—polls close at 8pm! GO VOTE! 

Check your polling place here: https://t.co/DAW92Jlo1e https://t.co/b7Xh1Sl88K"
2017-05-25 23:29:58,1036,527,"Two and a half hours left to vote! 

Here's where to go: https://t.co/DAW92J3MCE https://t.co/XTCHwNbHJA"
2017-05-25 19:59:48,2459,1201,"Montana, TODAY is the last day to vote. You have until 8pm to get to your polling place. It's easy &amp; it's important… https://t.co/tWQMMtKAXh"
2017-05-25 19:31:52,2290,946,"Today, Montana needs to #StandWithPP and women's health. Vote before the polls close at 8 pm.… https://t.co/p1r2pUwKEC"
2017-05-25 17:30:54,2389,1357,The disastrous healthcare bill will kick 23 MILLION off of their insurance. Go vote NOW to protect our healthcare. https://t.co/3CI1jjL3s3
2017-05-25 16:21:09,2707,1345,"We have the momentum in this election—and today, we have the opportunity to send a real Montanan to Congress.… https://t.co/VvlCxsd0gc"
2017-05-25 13:10:14,8782,8344,Retweet this so everyone knows: polls are now open! Montana—go VOTE! Here is where to find your polling place:… https://t.co/k05zVvpkrP
2017-05-25 12:01:06,3674,1719,Polls open in ONE HOUR! Look up your polling place: https://t.co/DAW92Jlo1e https://t.co/VAzJurvZH6
2017-05-24 22:00:50,14800,7607,Tomorrow is your opportunity to vote to protect the lives of Montanans. Find your polling place &amp; vote:… https://t.co/TypQEKBMml
2017-05-24 17:06:10,10977,5323,This is a fight for the soul of Montana—and we need your voice to be heard. Go out and vote TOMORROW! https://t.co/m8RCzZjiDy
2017-05-24 15:20:31,1890,1080,"Tomorrow, we have the chance to stand up and defend our values in Washington.

https://t.co/R6I1RyjUTI"
2017-05-24 04:02:05,10057,4361,"Thank you @MichaelKeaton for the support in this election! Montana, side with Batman—vote this Thursday, May 25! https://t.co/yqBTT1dMyN"
2017-05-24 03:47:51,1007,493,Great day meeting w volunteers in Billings and getting out the vote. Stand with me Yellowstone County &amp; I'll stand… https://t.co/HkworLN2ug
2017-05-23 23:20:41,2016,871,Honored to receive the endorsement of Fort Belknap Indian Community Council. I'll be a strong voice for Indigenous people in Congress.
2017-05-23 21:18:11,1155,650,I'm proud to stand with Montana's veterans. https://t.co/LmGAmOUbSu
2017-05-23 15:55:29,767,175,The attack in Manchester is heartbreaking. Montana stands by the UK community — we're sending you all our strength.
2017-05-23 02:02:32,591,295,Meeting with supporters &amp; volunteers  in Great Falls to get out the vote ahead of Thursday. We can't let up now Mon… https://t.co/wTKMW8nNCQ
2017-05-22 17:14:13,7638,9925,"Retweet this so everyone knows: the special election for Montana's seat in Congress is THIS THURSDAY, May 25! https://t.co/3mVaEVzKyH"
2017-05-22 15:26:11,721,503,"People like Katie are why I'm in this race, and why I'm asking for your vote this Thursday. #HandsOffOurHealthCare 
https://t.co/XJGQGSYmRq"
2017-05-22 15:06:28,942,601,"Together, we can take back Montana. 

Go to https://t.co/DAW92Jlo1e to check your polling place before Thursday. https://t.co/bAnIVas0BX"
2017-05-21 19:24:44,912,534,"What a weekend. 

Double check your polling place now—and make sure to vote this Thursday! https://t.co/DAW92J3MCE https://t.co/enTiTTXDTd"
2017-05-21 18:03:02,1010,426,Here's Bernie speaking to our SECOND overflow crowd at today's Bozeman rally! #BigSkyBern https://t.co/PnmUzfRYMv
2017-05-21 17:54:15,454,270,"Montana: vote this Thursday. The future of our state depends on it. 

https://t.co/VJTsRtFD01 #BigSkyBern https://t.co/uby3ymx7gO"
2017-05-21 17:48:38,391,181,"""Rob understands that it is unacceptable that women are earning seventy cents to the dollar!""

- Bernie in Bozeman https://t.co/pLkadCZ5uy"
2017-05-21 17:40:26,986,324,"Bernie: ""Rob and I are going to do everything we can to bury that horrific healthcare bill passed in the House."" https://t.co/YsZDpBAgL7"
2017-05-21 17:35:04,375,175,"We have the momentum in this race. And this Thursday, May 25, we can win. #BigSkyBern https://t.co/loJhtXJ9f1"
2017-05-21 17:34:36,222,113,"This Thursday, the people of Montana are going to say loudly and clearly: we need people who represent all of us! https://t.co/YjxS4XbrAx"
2017-05-21 17:32:44,179,93,"Bernie: ""This election is about the fate of Montana."" 

Remember to vote THS THURSDAY, May 25! #BigSkyBern https://t.co/NyzqAHiF4J"
2017-05-21 17:30:36,253,92,"""Montana, you are about to make history.""

– Bernie in Bozeman #BigSkyBern https://t.co/JJWDWLpMa4"
2017-05-21 17:27:45,262,128,"When you cannot stand, I will stand with you. I will make your voices heard. #BigSkyBern https://t.co/6YHFzWAH7A"
