date,favorite_count,retweet_count,text
2018-09-08 14:55:44,86,42,"When the Pennsylvania legislature didn’t act on the gender wage gap, I took action on equal pay. I will always stan… https://t.co/OBb624CPdD"
2018-09-07 19:45:46,104,50,Kavanaugh’s support for overturning Roe v. Wade is a real threat. Governor Wolf will do everything in his power to… https://t.co/wUR5mIu4MA
2018-09-07 14:15:12,164,96,"I promise to be a governor who will always stand up to Republican attempts to roll back Medicaid, defund Planned Pa… https://t.co/9zK8Tn3HeF"
2018-09-06 17:11:02,193,188,"As governor, Scott Wagner will, ✘ roll back Medicaid from 720,000 PA'ians, ✘ allow an age tax on seniors, ✘ defund… https://t.co/8U7iaQK752"
2018-09-06 14:15:51,743,280,I will not back down from defending a woman's right to make her own health care decisions and standing up against R… https://t.co/y3YS6rhkW0
2018-09-05 19:28:51,34,26,It's time to get out the vote. Register now to keep Pennsylvania moving forward: https://t.co/2SydzPTXXw https://t.co/ATHzV6TYVr
2018-09-05 19:28:30,29,15,Thank you @PghFFLocal1 for your commitment to protecting Pittsburgh residents and the rights of dedicated firefight… https://t.co/bhujvgW9tq
2018-09-05 19:28:11,0,53,"RT @JohnFetterman: My running mate is 💯 right.  

Knocking on doors is one of the most basic, yet profound ways to right our democracy. htt…"
2018-09-05 19:27:19,7,1,#LaborDay was a great day in support of hard-working Pennsylvanians! https://t.co/aJq99SL5Gb
2018-09-05 19:15:51,39,33,"I strongly disagree with Scott Wagner's plans to tax retirement income &amp; place an age tax on seniors. As governor,… https://t.co/J046muXFMh"
2018-09-05 16:25:41,15,4,"Our School Safety Task Force is focused on preventing school-based violence, while also taking every precaution to… https://t.co/55qvQPuVcE"
2018-09-05 14:20:35,66,23,"Graduation rates have increased, the $1 billion dollar education cuts are fully restored, PA is a national leader i… https://t.co/cnfKstRa9X"
2018-09-04 19:15:10,191,71,I strongly believe that women should have the right to make their own health care decisions. This is why I blocked… https://t.co/pYRryPz7pX
2018-09-04 17:10:25,0,28,"RT @JohnFetterman: 😎.  With ya, Governor, or should I say “grandpa”?  Congratulations to you and Frances!   https://t.co/p6JrSFtlln"
2018-09-04 17:10:10,6,3,"You're right, Liam. That's how we #MakeItHaPENN! https://t.co/I7IqHJfRe4"
2018-09-04 16:15:59,23,11,"With apprenticeship opportunities on the rise, I am proud that Pennsylvania’s workforce is becoming stronger and be… https://t.co/ongvfsEP2G"
2018-09-04 14:40:55,84,44,"While Scott Wagner thinks seniors are “greedy,” I have invested in ensuring older Pennsylvanians have the ability t… https://t.co/q3BfsVOmwl"
2018-09-03 21:03:36,88,40,I met with union hospital workers and those fighting to form their union in Pittsburgh today. When healthcare worke… https://t.co/tP2uf2QTtx
2018-09-03 20:45:04,10,1,"#WolfPack, there is still time to get a special Wolf pup onesie and our new Wolfpack tee! Use code: LABORDAYSALE fo… https://t.co/AnQAVLTGpH"
2018-09-03 17:30:30,9,5,These new #WolfPack pup onesies are now available for our smallest supporters. This special onesie and any item sit… https://t.co/A9XqyVvKs3
2018-09-03 15:21:54,393,134,Happy Labor Day! I’m proud to stand with unions today and every day. Thank you to all of Pennsylvania’s hard worker… https://t.co/cbwq535TwU
2018-09-02 15:25:54,134,93,"We need people like you to knock on doors and call your neighbors about November's election. Together, we can get o… https://t.co/yAq2ohEI6v"
2018-09-01 15:20:43,297,131,"Pennsylvania, we need you to vote this November. Under Scott Wagner, the progress we've made will be undone. Let’s… https://t.co/Nl9iCDa1ru"
2018-08-31 19:45:48,136,124,I fought to fully restore the $1 billion dollar education cuts &amp; increased investments to critical programs because… https://t.co/JVfTLCfwRE
2018-08-31 17:15:32,67,58,Registering to vote is your chance to make sure your voice and vote are heard on election day. It’s your chance to… https://t.co/ee6m0HmSJN
2018-08-31 15:15:28,15,8,"Investing in critical education programs and creating new opportunities for our schools and students to succeed, li… https://t.co/z9Ks1jtVxh"
2018-08-30 19:45:34,25,16,"Since taking office, I’ve been a tireless advocate for ensuring that all children, no matter their zip code, receiv… https://t.co/MzxCCMNRme"
2018-08-30 16:17:58,0,61,"RT @JohnFetterman: Party that truly believes it stands for the best ideals, wants and works, to create the most open elections.  https://t.…"
2018-08-30 16:17:34,0,6,"RT @ben_ratkiewicz: Shoutout to the @PADems and all their candidates like @WolfForPA , @Bob_Casey, @JohnFetterman championing for #LGBTQ pe…"
2018-08-30 16:17:08,0,44,RT @JohnFetterman: 💯‼️.  https://t.co/i5BnQkpsxW
2018-08-30 16:06:34,0,5,RT @juliette_boberg: A successful night of phone banking for this wonderful Old Forge volunteer team! All women who fought hard in 2016 and…
2018-08-30 16:06:16,0,2,"RT @HRC_PA: PENNSYLVANIA: We need Field Organizers to help us elect pro-#LGBTQ candidates like @WolfForPA &amp; @Bob_Casey. 
🏳️‍🌈 Apply now!…"
2018-08-30 15:45:17,76,47,"Under Scott Wagner, ✘ we'll go back to the days of $1 billion dollar cuts to education, resulting in  ✘ 10% educato… https://t.co/Z0LyY2BZMV"
2018-08-30 15:19:48,27,4,"We're lucky to have you, @JohnFetterman https://t.co/ckdIT6djlQ"
2018-08-30 14:15:12,299,198,"I made it easier to register to vote online. Don’t miss your chance to get your voice heard, only 40 days left. Reg… https://t.co/R8VBRTmTpQ"
2018-08-30 12:34:12,0,12,"RT @HRC_PA: “I am truly honored to accept the Human Rights Campaign endorsement.” - Governor Tom Wolf (@WolfForPA)
https://t.co/gg8WeQTyIL"
2018-08-29 19:28:22,35,34,Your vote can determine the future of Pennsylvania. I don’t plan to stop fighting for you ↺ RT to make sure your fr… https://t.co/8XYA3bQZpL
2018-08-29 16:15:12,24,12,My administration has always made the future of Pennsylvania children a top priority. It's clear that schools will… https://t.co/fD7gRfPbJZ
2018-08-29 14:15:06,270,93,"Since taking office, I restored massive education cuts, stood with women who deserve to make their own health care… https://t.co/kPWoAlMlje"
2018-08-29 01:07:59,104,49,Happy to join @PADems to launch our new Philadelphia coordinated campaign office in the Historic Progress Plaza. Ge… https://t.co/sFILxZNAP8
2018-08-28 19:45:39,30,21,"We've seen an increased number of children enrolled in pre-k, more computer science and STEM education programs, an… https://t.co/ynPyRadzHk"
2018-08-28 19:38:03,0,6,RT @juliette_boberg: Thanks to these progressive women of NEPA for stopping by today for an in depth canvass training session! Now they’re…
2018-08-28 19:37:44,0,11,RT @DwightEvansPA: Scott Wagner is wrong for PA.  Make sure to re-elect @GovernorTomWolf so we can keep moving the commonwealth forward. ht…
2018-08-28 17:45:32,53,36,"Centre County voters, a field office is opening in your area! Get involved and spread the word to your neighbors an… https://t.co/rUVKUa3tpX"
2018-08-28 15:25:25,177,129,"Pennsylvania deserves a team who will fight for quality health care, sustainable jobs that pay, access to a great e… https://t.co/XWReQPwvhw"
2018-08-28 13:11:31,23,15,Thank you for your hard work on the ground in Huntingdon County. Go #WolfPack! https://t.co/gsVdwqNB7e
2018-08-28 13:11:00,0,114,RT @JohnFetterman: I am I am! 👋 https://t.co/C0TzHQTvqW
2018-08-27 20:56:17,0,16,"RT @HRC_PA: PENNSYLVANIA: We need Field Organizers to help us elect pro-#LGBTQ candidates like @WolfForPA &amp; @Bob_Casey. 
🏳️‍🌈 Apply now!…"
2018-08-27 20:15:17,100,25,".@johnfetterman, now that I think about it, you probably should have bought those sunglasses for today’s heatwave i… https://t.co/vl5oYAEjcZ"
2018-08-27 19:20:13,908,750,"Under Scott Wagner, @realdonaldtrump would have an ally in the governor’s seat. I promise to be a firewall against… https://t.co/WkiS7cRRkX"
2018-08-27 16:20:06,42,23,"I fought to restore massive cuts to education so our students can thrive. Today, our graduation rates have increase… https://t.co/RJnqdnEGqF"
2018-08-26 23:25:48,49,22,"Thank you, @PFTLocal3 for welcoming me yesterday. Your commitment to Philadelphia’s students is the driving force t… https://t.co/71BFmGFB08"
2018-08-25 16:45:35,65,55,Pennsylvania's children deserve every chance to succeed with critical education programs like Pre-K. But Scott Wagn… https://t.co/G26hnjso6a
2018-08-24 20:08:26,79,82,"This week, we have seen Scott Wagner attack the #LGBTQ community, get caught calling for Russian interference in th… https://t.co/psgQpOpmTU"
2018-08-24 19:45:28,160,139,"Under Scott Wagner, Pennsylvania's seniors will be hurt. Wagner wants to tax retirement accounts, charge seniors an… https://t.co/fiEFN9naGq"
2018-08-24 18:25:18,146,98,"Under Scott Wagner, ✘ Medicaid expansion would be rolled back, ✘ Pennsylvania would have a 6-week abortion ban, ✘ t… https://t.co/F8c1Y1WRWq"
2018-08-24 16:20:12,221,288,We have to make this election count. There’s so much at stake. ↺ RT if you’re voting for Democrats this November → https://t.co/2SydzPTXXw
2018-08-24 14:05:32,60,51,"When Republicans tried to institute an age tax on seniors, I fought back. When Republicans tried to roll back presc… https://t.co/wQZLY6Grad"
2018-08-23 21:25:41,128,86,Scott Wagner’s recent attacks on the #LGBTQ community prove why every Pennsylvanian needs to get out and vote. Regi… https://t.co/Bhowq5f3nF
2018-08-23 19:15:37,69,45,Scott Wagner wants to roll back Medicaid expansion and take health care away from hundreds of thousands of PA'ians.… https://t.co/gBDHHDNlbR
2018-08-23 16:35:49,38,26,"In order to continue building a stronger economy in PA, investing in the #PASmart initiative is important. With mor… https://t.co/jiTAWLBHha"
2018-08-23 15:08:53,40,5,"Sending a very happy birthday to the love of my life, Frances. I am so lucky to be able to share life's journey wit… https://t.co/3bHQ0gFnm3"
2018-08-23 14:10:35,50,29,"Protecting the integrity of our elections is not a joking matter. But Scott Wagner was caught saying “By the way, t… https://t.co/bzntBRSlv7"
2018-08-22 19:59:40,45,37,It's clear that Pennsylvanians need to make their voice heard on election day. You can register now:… https://t.co/vww5o3iX0W
2018-08-22 19:57:36,0,16,"RT @Guidi4PA40: Everyday, we are out here talking to voters and they care about having high-quality educations for their children. @WolfFor…"
2018-08-22 19:45:39,10,4,Let your friends know you’re a part of the #WolfPack. Get your gear here → https://t.co/mh3gjhomiM https://t.co/cQ9FUuoehr
2018-08-22 18:15:42,0,9,RT @PghFFLocal1: We joined firefighters from across PA today to endorse Gov Tom Wolf for re-election. @WolfForPA has been committed to supp…
2018-08-22 18:14:37,0,154,"RT @thehill: GOP candidate jokes Russians ""are going to help"" him win in November: If I have to ""use Paul Manafort, I will"" https://t.co/Fg…"
2018-08-22 18:13:59,0,65,RT @JohnFetterman: That’s the reality here in Pennsylvania.  Make no mistake: decency and equity are on the ballot in 2018. @WolfForPA http…
2018-08-22 17:45:32,448,546,Scott Wagner says he won't release his tax returns because he doesn't want his workers to know what he makes. RT if… https://t.co/ZDKKYd989z
2018-08-22 16:15:46,18,11,My vision for the future of agriculture takes advantage of what’s special about Pennsylvania’s farms and food proce… https://t.co/NfZWafONdV
2018-08-22 15:40:48,134,79,"This is why Pennsylvanians should register to vote. Under Scott Wagner, there is so much at stake. You can register… https://t.co/1kfi0uCiqg"
2018-08-22 14:04:38,143,58,We cannot go back to the days of billion dollar cuts from education that Scott Wagner championed. I have fully rest… https://t.co/zl3ZV0WqIa
2018-08-21 19:50:39,20,12,"#ICYMI During my visit to Erie, PA, I announced new investments in quality care for seniors and job creation to boo… https://t.co/KpvrSC4zMA"
2018-08-21 18:33:53,38,18,Thank you for your support and endorsement. I will continue to ensure that the rights of Pennsylvania’s fire fighte… https://t.co/1tRWtzTyOK
2018-08-21 18:07:56,0,42,"RT @JohnFetterman: .@WolfForPA created 1st LGBTQ 🏳️‍🌈 commission in 🇺🇸.

Me: 1st elected official to perform a 🏳️‍🌈 wedding in PA 2013. htt…"
2018-08-21 18:03:48,10,6,I am committed to continuing to work with IAFF and PPFFA to ensure that our fire fighters have the resources and pr… https://t.co/eEJJzZUVIt
2018-08-21 18:03:47,15,8,I am honored to receive the endorsement of the International Association of Fire Fighters and the Pennsylvania Prof… https://t.co/d8J6k8pdFP
2018-08-21 16:45:31,1225,870,Scott Wagner said he would consider signing a bill that would make same sex marriage illegal in Pennsylvania. This… https://t.co/hTpDR7KodL
2018-08-21 14:05:42,2957,2346,"Scott Wagner was caught saying “By the way, the Russians are going to help me with Tom Wolf,” “If I have to use Pau… https://t.co/tNX25J9k2A"
2018-08-20 18:07:45,195,116,I've also made it easier to register online. https://t.co/2SydzPTXXw Your voice matters this November. Share and ge… https://t.co/uVFXExLqrH
2018-08-20 16:45:47,245,231,"Harrisburg Republicans cut one billion dollars from education, resulting in layoffs and cuts to important programs… https://t.co/OmGM6HNdWE"
2018-08-20 14:10:16,26,13,"Investments in programs for older PA'ians gave an additional 50,000 seniors the ability to age at home &amp; receive qu… https://t.co/7bY2QiFciV"
2018-08-17 20:05:59,30,12,"Thank you for your work to inform Pennsylvanians in Lehigh Valley. Together, we will get out the vote in November!… https://t.co/tPRhlYzi6j"
2018-08-17 19:55:41,0,10,"RT @HRC_PA: ❤️💛💚💙💜🖤
@WolfForPA is a true champion for #LGBTQ people and @HRC is proud to endorse Tom Wolf for Governor.
https://t.co/gg8WeR…"
2018-08-17 18:20:17,69,28,Strong unions allow our economy to grow and ultimately strengthen Pennsylvania’s middle class. I will always contin… https://t.co/cQwlqqRp7g
2018-08-17 18:19:42,0,55,"RT @JohnFetterman: Pennsylvania needs a champion for Women’s Reproductive Healthcare. 

@WolfForPA is that firewall.   https://t.co/HUUjVSm…"
2018-08-17 17:48:05,0,4,"RT @PPAdvocatesPA: @JohnFetterman, Democratic candidate for Lt. Governor, has it right! If you stand with him and @WolfForPA, let us know:…"
2018-08-17 17:47:43,13,3,"Thank you, Elaine for your commitment to informing voters! #WolfPack https://t.co/UzKZZ8wH5L"
2018-08-17 16:37:11,0,82,"RT @TheDemocrats: Democrats like Gov. Wolf have fought tirelessly to give Americans access to quality, affordable health care. We can't let…"
2018-08-17 15:45:08,31,15,My administration’s work to ensure that Pennsylvania families have access to quality health care has lowered our co… https://t.co/ZGzpJaDO22
2018-08-16 16:15:14,141,53,I never backed down against Republican attempts to defund Planned Parenthood &amp; will continue to fight against… https://t.co/hWildb3Clb
2018-08-15 20:44:46,18,6,Thank you Penn Ag Democrats for supporting the progress we’ve made in my plan to strength the agriculture industry… https://t.co/BnAnLuwMZa
2018-08-15 20:35:56,7,3,Thank you to the Lock Haven community for your support in the opening of a new field office in your area. It's time… https://t.co/9eqxZQBW5r
2018-08-15 17:36:43,30,12,"Republicans in Congress tried to eliminate the CHIP program affecting thousands of children in Pennsylvania, but I… https://t.co/6D9yleTRmX"
2018-08-15 16:30:47,68,32,"I am grateful for the outpouring of support in Erie, PA for the opening of a new field office and new investments f… https://t.co/dedvodNZk8"
2018-08-15 14:25:33,61,33,Scott Wagner will ban abortion and roll back women’s rights. The stakes are too high to not take action. Read more… https://t.co/b9fmpLdmeC
2018-08-14 20:52:18,0,4,RT @kacyamcgill: The @PADems team is having a busy Sunday afternoon in North Versailles. Five members of the community came to #canvass in…
2018-08-14 20:52:01,55,15,Thank you Mary Ann for your hard work on getting Pennsylvania voters informed and ready for November. Your dedicati… https://t.co/kuITLFvEGJ
2018-08-14 20:03:38,0,7,"RT @ueunion: .@WolfForPA speaking at UE Local 506 hall. “If you want a strong economy, then you have to do the right thing. And unions are…"
2018-08-14 20:02:40,0,10,"RT @SeanMcEnerney: “Imagine what we could do with all these Democrats in Harrisburg” - @WolfForPA. We don’t have to imagine, we’re going to…"
2018-08-14 20:02:22,0,13,RT @thegr8brittan: Saying there is lots of excitement here in Northwest PA would be an understatement. Packed house in Erie with @JohnFette…
2018-08-14 19:28:04,0,5,"RT @padems_erie: Thank you @WolfForPA, @JohnFetterman, @BobMerski, @RyanBizzarro, and @SueforSenate for coming! Sign up to make sure they g…"
2018-08-14 19:24:46,0,4,RT @BobMerski: Thank you to everyone who joined @WolfForPA @JohnFetterman and me for the opening of the Erie @pa_campaign office.  The @PAD…
2018-08-14 19:24:23,16,4,"Thank you, Caleb for your dedication to get Pennsylvanians ready to vote in November #WolfPack https://t.co/QdqvvL3K6l"
2018-08-14 19:22:38,0,24,"RT @DemGovs: By electing a Democratic governor in Pennsylvania, voters gave every community a voice and a fair shake.

Thank you, @WolfForP…"
2018-08-14 19:22:00,7,1,Thank you for being a leader in the community and supporting @johnfetterman and me. We hope you will continue to en… https://t.co/xaqUXD1nFQ
2018-08-14 19:21:23,0,55,"RT @JohnFetterman: Access, equity, and decency are on the ballot in PA 2018. 👊🏻👊🏼👊🏽👊🏾👊🏿Every County.  Every Vote.  https://t.co/CCtiohG2oB"
2018-08-14 15:25:27,19,3,"Medicaid expansion gave an additional 720,000 Pennsylvanians access to the quality health care they deserve. We can… https://t.co/jtATw7uFjF"
2018-08-14 14:33:12,49,10,"And so are you, @johnfetterman! https://t.co/TmxYwsjsRl"
2018-08-14 14:32:16,0,11,"RT @PADems: While @realScottWagner just *talks* about jobs, @WolfForPA has been busy actually creating them. https://t.co/jGVPNZOOjg"
2018-08-14 14:31:37,35,14,"Thank you for a great day in Erie, @RyanBizzarro. I look forward to working together to keep Pennsylvania moving fo… https://t.co/wZJI3RfNFQ"
2018-08-14 13:45:20,111,55,PA should continue providing options for seniors to age in their homes home &amp; receive quality care in their communi… https://t.co/DAUcMFB4Fr
2018-08-13 19:52:51,0,4,RT @ColonialDemsPA: .@GovernorTomWolf @WolfForPA has delivered real results and meaningful investments in educational opportunities giving…
2018-08-13 19:49:50,0,9,RT @DemGovs: A fairer future for all means a stronger future for all: @WolfForPA has launched the first-in-the-nation Commission on #LGBTQ…
2018-08-13 19:49:32,48,28,"Pennsylvania gubernatorial candidate Scott Wagner is following in the footsteps of President Trump, rejecting decad… https://t.co/EusVLiajnB"
2018-08-13 19:39:59,0,1,RT @HRC_PA: Volunteer with @HRC_PA to help us elect pro-#LGBTQ Pennsylvania leaders like @WolfForPA: https://t.co/HbhZW6Ycdr https://t.co/b…
2018-08-13 16:17:07,0,2,RT @HRC_PA: HRC proudly endorses both @Mad4PA and @WolfForPA. Learn about @HRC's other pro-#LGBTQ endorsed candidates in the Keystone State…
2018-08-13 16:16:51,0,62,"RT @TheDemocrats: Packed house at Scranton, PA roundtable as DNC Chair @TomPerez talked w/ @WolfForPA, activists, &amp; concerned citizens abou…"
2018-08-13 15:32:15,33,11,"Thanks to @DNC Chairman, @tomperez for visiting Pennsylvania to rally Democrats who are working hard to keep our co… https://t.co/n5F5VrAzht"
2018-08-13 13:45:05,225,108,"I fought for an additional 720,000 PA'ians to have access to quality health care under Medicaid expansion. But Scot… https://t.co/4cYEeQYT7k"
2018-08-11 15:31:12,165,56,"Earlier this week, I spent time visiting and listening to students from local schools in Philly and across the coun… https://t.co/kLtz0yEv5u"
2018-08-10 19:01:04,31,8,Thank you for your activism and hard work in Pennsylvania and nationwide to keep our communities safer.… https://t.co/ur5ql8N9Ek
