date,favorite_count,retweet_count,text
2018-09-08 19:16:19,44,11,We’ve got a great team knocking on doors today. We’re working hard to earn your vote. https://t.co/u22dJLPeMC
2018-09-07 13:51:43,31,11,"Job growth again exceeds expectations, and wages are growing at the highest rate in almost a decade.  The Democrats… https://t.co/eg1VL9beJA"
2018-09-06 13:55:10,24,12,"More great economic news this morning.  The number of new jobless claims hasn’t been this low since the 60’s!
  https://t.co/rtulCl6Uaf"
2018-09-05 15:04:42,22,9,Consumer Confidence is at an 18 year high.  ISM Manufacturing Index is at its highest level since 2004.  Tax cuts a… https://t.co/iPKMEAuJVM
2018-09-04 19:58:10,7,2,“…We can conclude that passage represents the most significant macroeconomic event since the 2010 shutdown of the C… https://t.co/fOQ8fru4Gm
2018-08-31 21:34:39,26,11,"As we head into a holiday weekend, let’s note that for the first time on record, there are more jobs available than… https://t.co/KCalYKtEFc"
2018-08-28 19:47:56,48,10,It was great to have House Majority Whip @SteveScalise in town today. He and I were able to share our record of res… https://t.co/7iXbIVBIfz
2018-08-28 01:53:14,98,21,President Trump has nominated DeKalb County Superior Court Judge J.P. Boulee to the U.S. District Court in Atlanta.… https://t.co/iS2WmargBN
2018-08-27 19:27:08,11,4,"""The online economy powering human trafficking in America is decimated."" - Manhattan District Attorney's Office

https://t.co/Rec0IWN14C"
2018-08-24 14:12:51,13,6,"""I don’t think it is crazy to say that this one piece of legislation may have more impact on curbing commercial sex… https://t.co/SZvIKuTWM5"
2018-08-22 13:00:24,99,21,"I am determined to end human trafficking.

https://t.co/Rec0IWN14C"
2018-08-21 20:53:32,35,19,"Sex trafficking is a problem right here, in OUR community.  It preys upon our most vulnerable, on those least likel… https://t.co/sRaQud1kJB"
2018-08-21 01:17:01,33,9,"Thanks to the Coca-Cola Bottling Company United for over 100 years of creating jobs, and for taking time today to s… https://t.co/fzW25hRrQt"
2018-08-20 01:11:27,81,25,"It was great to see so many friends, neighbors, and supporters today as we rallied for re-election. I remain honore… https://t.co/FLdpg2xkJy"
2018-08-18 18:08:24,70,13,"Team Handel is busy today making calls and knocking on doors. Once again, we're asking to earn your vote.

#gapol https://t.co/u4By1xHRny"
2018-08-17 20:12:36,7,1,"We’ve made progress, but there is still much to do.  Working together, we’re going to make our community stronger, and our families safer."
2018-08-17 20:12:04,12,1,"We’re going to see what is working, and what we can still do in Washington to help those on the front lines dealing… https://t.co/oFI8fZ1FvP"
2018-08-17 20:11:48,4,1,"These pieces of legislation are progress, and we’re already seeing results. With that said, I am still incorporatin… https://t.co/9IL6OqZIcm"
2018-08-17 20:11:17,4,2,"I also supported and helped pass HR 6, the Support For Patients and Communities Act – the most significant overhaul… https://t.co/UnAuRMjV6t"
2018-08-17 20:10:52,4,1,"I also supported the passage of the Comprehensive Opioid Recovery Centers Act, which establishes long term treatmen… https://t.co/dWDGRbgLxn"
2018-08-17 20:10:27,3,1,"I supported the House passage of the Peer-to-Peer Counseling for Veterans act, which increases the number of Vetera… https://t.co/gY8uWpNSuU"
2018-08-17 20:10:02,4,1,I supported and the House passed the Safe Disposal of Unused Medication Act.  This bill helps ensure that unused an… https://t.co/MynvFbZYlR
2018-08-17 20:09:27,6,2,"I was proud to support the THRIVE Act, which expands housing &amp; treatment options for individuals who have completed… https://t.co/T43vFp03Vc"
2018-08-17 20:08:46,7,4,"This ensures that the Federal Government isn’t just talking about the problem, but investing real resources with ou… https://t.co/WaxM1LMxyM"
2018-08-17 20:08:32,6,4,Congress Fully funded the 21st Century Cures Act and added $3.1 Billion in new funding this year and preparing addi… https://t.co/w9cCWFN9UU
2018-08-17 20:07:59,4,3,I’d also like to highlight some of the legislation that has passed the House to address the opioid addiction problem head on.
2018-08-17 20:06:56,4,3,"The opioid crisis is far reaching and complex.  There is no single solution or magic wand to solve it. We will, how… https://t.co/kPziV7k6YW"
2018-08-17 20:06:05,4,4,They not only gave us their testimony of how their organizations are rescuing our neighbors &amp; giving them hope and… https://t.co/SKhkzbp9ON
2018-08-17 20:05:51,4,3,We also heard from the Mary Hall Freedom House and Every Woman Works.
2018-08-17 20:04:39,4,3,"Wednesday, in Sandy Springs, I hosted the second summit. We had a thorough and robust discussion about what is work… https://t.co/JOHkbNq45i"
2018-08-17 20:04:08,4,2,"In May I hosted my first “Opioid Summit” in Dunwoody.   Local leaders, first responders, and experts from across th… https://t.co/YvJu41laGg"
2018-08-17 20:03:38,2,4,"Money is only a start to solving this problem.  As a Member of Congress, I am a partner at the state &amp; local levels… https://t.co/EUl1yQizhO"
2018-08-17 20:03:12,1,3,"When I first ran for this office, I pledged to bring additional resources to combat the opioid epidemic. We've adde… https://t.co/qcvR24LA1E"
2018-08-17 20:02:10,3,3,"The opioid epidemic is real, and our communities within the 6th District are among the hardest hit in Georgia and t… https://t.co/VrD0WJI84w"
2018-08-15 17:55:09,10,6,We will all have to work together to solve this problem.  I look forward to highlighting this issue with more speci… https://t.co/vVGWJbkUOl
2018-08-15 17:54:28,6,5,"Congress has passed dozens of bills to provide resources for awareness, prevention, treatment, long-term recovery,… https://t.co/Zitig1Jxio"
2018-08-15 17:53:44,10,8,"With urging from Congress, the CDC has changed the opioid pain medication prescribing guidelines, and we are alread… https://t.co/HARAa6WRAq"
2018-08-15 17:53:15,7,6,"Behind these statistics are our loved ones, our friends, our neighbors, and our coworkers.  Too many have already d… https://t.co/o4wgJy9zST"
2018-08-15 17:52:55,8,7,Americans lead the world in opioid use. The amount of opioids prescribed in the U.S. in 2015 was enough for every A… https://t.co/1DnhDjk6EZ
2018-08-15 17:52:29,2,5,"Right here in the 6th Congressional District, Cobb has the highest use of opioids of any county in the state – with… https://t.co/CPFe4CSLd5"
2018-08-15 17:51:57,6,8,"Every day, 142 Americans die from a drug overdose.  Overdoses are now the number one cause of death in America.  Mo… https://t.co/NVxoM2MF4x"
2018-08-15 17:51:24,6,5,"Let’s start with some facts:

https://t.co/YMxfSz4UI1
 
The opioid crisis is the deadliest drug overdose epidemic i… https://t.co/QnjoaLdvFD"
2018-08-15 17:50:18,48,9,One of the greatest threats to the safety of families and our community is the opioid epidemic.  Over the next few… https://t.co/8n3PfQkXL4
2018-08-14 21:47:06,59,13,Great to meet with North Fulton elected officials today to talk about local issues and how we can work together to… https://t.co/hZuwPqMB8G
2018-08-14 00:28:35,52,12,"Today, President Trump signed the National Defense Authorization Act, calling it ""the most significant investment i… https://t.co/7i695pGpJV"
2018-08-10 22:08:27,32,6,It's easy to take mailboxes for granted - unless you don't have one.  I'm proud to have helped Milton get its first… https://t.co/bE4wN8npo5
2018-08-09 17:51:46,54,12,"Want a beautiful yard sign for your beautiful lawn?  Get yours here: https://t.co/ixdICaarqE

#gapol https://t.co/udSlpqPW4o"
2018-08-08 16:21:42,32,9,The key to long term economic security lies in growing the economy through lower taxes. This article shows how the… https://t.co/BIGe2nAbiG
2018-08-07 22:02:38,52,22,Wages are rising at the fastest rate in a decade.  Not only are tax cuts allowing 6th District families to keep an… https://t.co/79xuGwomO7
2018-08-06 18:55:48,44,17,I want to invite you to get involved in my campaign.  Please contact us here to join the team and find out how you… https://t.co/qt8s0w9lvE
2018-08-04 20:33:30,36,12,Steve and I had a great morning at the Old Soldiers’ Parade. Thank you Alpharetta for organizing this event to hono… https://t.co/orFqoQwCnP
2018-08-04 15:04:54,268,37,Consumer confidence is rising and Economic Optimism is up. Tax cuts are working and the economy is strong!… https://t.co/Z9Xli4DH7h
2018-08-03 13:12:00,100,15,"A year ago when I was campaigning, people scoffed when I said we could achieve 4% GDP growth. We passed tax cuts ju… https://t.co/HZIEW56mPU"
2018-08-02 19:25:16,55,21,"Nancy Pelosi has decided to double down on her efforts to buy the Georgia 6th seat for out of state, out of touch p… https://t.co/m6ZRpgqaEq"
2018-08-02 14:20:29,44,14,"""Socialist governments traditionally do make a financial mess. They always run out of other people’s money."" - Marg… https://t.co/pKnzLecSKP"
2018-08-02 14:20:10,34,18,A new study shows that the Democrats' single-payer health care solution would cost an average of $3.26 TRILLION dol… https://t.co/F8H23kGGqG
2018-08-02 01:45:03,56,11,"My job is to be an extension of the 6th district when in Washington. As such, it was great to meet with local elect… https://t.co/6lPdvJnAsS"
2018-07-25 21:08:03,105,33,"The primaries are over.  It's time for all hands on deck.

#gapol https://t.co/ksA7Xhu8aN"
2018-07-25 14:43:23,174,40,"After a late night, Congratulations are due to Geoff Duncan on his nomination for Lieutenant Governor.  We now have… https://t.co/zYcmDxtjeN"
2018-07-25 02:35:24,87,18,"Congratulations to Brad Raffensperger on his nomination to be Secretary of State.  On to November!

#gapol"
2018-07-25 01:10:19,448,97,Congratulations to Brian Kemp on his nomination for Governor.  It’s time to begin to unite our party and work towar… https://t.co/AxbcQo6Pml
2018-07-24 11:02:00,321,50,"It's election day, and the polls are open. Make your voice heard.  VOTE.

#gapol"
2018-07-18 02:04:02,56,9,Congrats to my friend @RepMarthaRoby!  The House is better with her return.
2018-07-17 16:27:06,35,10,"Thank you Sheriff Warren for hosting your annual ""Corn Boilin"", and to Steve for representing Team Handel while I w… https://t.co/Lg1EDgl1Ze"
2018-07-17 14:01:20,31,7,You can vote early today through Friday for next Tuesday's primary runoff elections. Take some time to make sure yo… https://t.co/EL9cUT9951
2018-07-16 20:27:15,34,10,Statement on Russia: https://t.co/8U8eo21WzA
2018-07-16 16:15:34,70,15,Sadie Says: I'm so doggone thrilled to be in the finals for the Cutest Dog on the Hill. Here’s a big tail wag for e… https://t.co/bVF1Rureoh
2018-07-16 14:39:06,33,11,This is the last week for early voting for next Tuesday's primary runoffs. You can find an early voting location fo… https://t.co/dNlhXTwGU1
2018-07-13 02:14:13,189,66,"My statement on FBI Agent Strzok's testimony today:

https://t.co/ctWfBBvERq

#gapol https://t.co/srJUcKx8yJ"
2018-07-10 01:26:11,270,71,"President Trump has made an inspiring pick in Judge Brett Kavanaugh, who will interpret the Constitution as written… https://t.co/d9u0Gl7kuL"
2018-07-04 12:31:00,199,71,"""We hold these truths to be self-evident, that all men are created equal, that they are endowed by their Creator wi… https://t.co/QaDxqSATSP"
2018-06-28 14:24:28,70,17,Supreme Court decision in Janus v AFCME is a win for the free speech rights of millions of Americans.  Free speech… https://t.co/Vq3GLULSmM
2018-06-27 22:47:49,17,5,Inaction means that the flow of illegal crossings will continue and the problem is only going to get worse.  When I… https://t.co/aImm4rZ41D
2018-06-27 22:47:18,19,6,"It included: $25B in advanced funding for the border wall and other border security measures, limited extended fami… https://t.co/6uwYES11IS"
2018-06-27 22:47:05,25,7,I am dismayed that Congress has failed to act on commonsense fixes to our broken immigration system.  While no legi… https://t.co/yqab1PnfXb
2018-06-27 18:56:50,211,43,"Thank you, Justice Kennedy, for your service to our country. I look forward to President Trump nominating a conserv… https://t.co/JNEVeOyFRL"
2018-06-26 19:00:00,23,10,Much more work remains. You have given me the high responsibility to work on your behalf to solve our country’s pro… https://t.co/nngAcpicFn
2018-06-26 18:30:01,22,5,I promised to advance the cause of life.  The Hyde and Helms amendments remain in place prohibiting the use of taxp… https://t.co/7DRzW84XiY
2018-06-26 18:00:01,27,9,I promised to help combat a growing mental health crisis.  We’ve added nearly one billion in annual funding for tre… https://t.co/CvOe93MATz
2018-06-26 17:30:00,25,5,"I promised increased school safety. We’ve passed the STOP School Violence Act, funding training to recognize school… https://t.co/GfbyZDP7LU"
2018-06-26 17:00:03,47,11,I promised we would end the funding the families of terrorists receive via the Palestinian Authority.  We’ve enacte… https://t.co/cdUIsv47t7
2018-06-26 16:30:01,52,10,The U.S. embassy for Israel is in Jerusalem where it belongs.  #YearOfResults
2018-06-26 16:01:00,39,8,I promised to stand with Israel. We’ve added $3.1 Billion to the US-Israel Memorandum of Understanding and $700 Mil… https://t.co/arIPe3f0CE
2018-06-26 15:30:00,19,5,"I promised to honor our commitments to our Veterans.  We’ve funded the V.A. to eliminate the patient backlog, and p… https://t.co/slozrrEsyg"
2018-06-26 15:00:00,43,9,I promised to make sure our military and their families would be supported.  Our increased investment in our armed… https://t.co/qtCW60nffA
2018-06-26 14:30:01,21,8,I promised to bring new resources to combat the Opioid epidemic that is devastating our community.  This year an ad… https://t.co/ozc8wj8w7W
2018-06-26 14:00:03,28,6,I promised to work with our State and local governments as a partner to rebuild our infrastructure. This month we a… https://t.co/AjNswK516p
2018-06-26 13:30:02,82,20,"I promised real tax reform.  Six months ago, President Trump signed into law the largest tax cuts in a generation.… https://t.co/Pdnjfl3rbd"
2018-06-26 13:00:02,120,17,"One year ago today, I took an oath to uphold the Constitution and was sworn it to represent the citizens of Georgia… https://t.co/4AgV4e1TkE"
2018-06-20 20:28:46,142,31,"One year ago today, the voters gave me the the honor of going to Washington to represent them in Congress.  Togethe… https://t.co/QMXGL6vTg5"
2018-06-17 00:33:56,70,15,Great celebration of freedom with the Cobb County Republican Party at Marietta's Juneteenth festival today! https://t.co/Y2b5VNHXKu
2018-06-15 15:31:15,53,26,"There are now more jobs open than people looking for work for the first time in U.S. history!

https://t.co/r5muk3ZWAp"
2018-06-14 11:55:00,160,34,Happy birthday President Trump!  Thank you for your leadership and friendship.
2018-06-13 14:09:02,72,23,I believe in funding priorities but also in cutting wasteful spending.  That’s why I was a “YES” vote to rescind $1… https://t.co/1NgmKoqMLn
2018-06-12 13:53:28,44,9,I promised to make the federal government a partner w/ state &amp; local governments to get Georgia moving again. Thank… https://t.co/eKmW5d7zch
2018-06-12 01:21:27,96,26,"Steve and I send prayers for a speedy recovery to Larry Kudlow, a great man and one of the great economic minds of… https://t.co/ubYgdMAXFA"
2018-06-11 17:13:00,238,51,"As President Trump meets with Kim Jong Un in Singapore, let us pray that this historic summit is the opening to pea… https://t.co/OtUxnX6dSc"
2018-06-07 20:59:00,93,20,"Wishing the happiest of birthdays to a wonderful leader and great friend, Vice President Mike Pence!"
2018-06-02 15:48:00,40,13,"Businesses are using their tax breaks to invest more.  This means more jobs for today and for tomorrow.  #gapol 

https://t.co/fpF4OGtU67"
2018-06-01 15:11:00,31,8,"Consumers drive the U.S economy, and with Consumer Confidence the highest since the turn of the century, the engine… https://t.co/RZP0318xv4"
2018-05-31 12:48:00,37,5,"Unemployment is at an 18 year low.  Our tax cuts and rollback of over-burdensome regulations are working!  #gapol 

https://t.co/qfysmjYnpS"
2018-05-30 13:05:01,17,5,New graduates will earn 5.2% higher starting salaries this year than those of a year ago.  Our economy is strong an… https://t.co/jmMhjI28iV
2018-05-29 13:15:00,38,16,"Our new graduates are entering a strong and growing economy.  Job openings have hit a record 6.6 Million!  #gapol 

https://t.co/u3eqJTdJiM"
2018-05-28 20:36:20,64,16,"Today, we honor and remember our fallen heroes.  These brave men and women gave their lives to protect this nation… https://t.co/cQEdQTFuxZ"
2018-05-27 18:41:31,44,16,Always an awesome time w/ Roy &amp; Suzanne Roberts for the Walton GOP BBQ. Steve &amp; I got to thank everyone for their g… https://t.co/O8PjYK2Nnf
2018-05-22 13:33:25,50,13,There are great people running for office. They have put in hours and hours of time and energy on the campaign trai… https://t.co/Rqxh9mmWso
2018-05-22 13:32:37,59,10,I am humbled to be running unopposed in the Republican primary and am grateful to have the opportunity to run as th… https://t.co/s6Ek9Eza8M
2018-05-22 13:31:55,49,11,"Today is Election Day. In the 6th District &amp; across Georgia, you have an opportunity to cast your vote for Governor… https://t.co/3WGodmmg8g"
