date,favorite_count,retweet_count,text
2018-08-24 12:42:54,0,83,RT @DekalbGADems: Randolph County will keep all it's polling locations open! Thanks to everyone who fought for this!!
2018-08-23 23:44:03,0,18,RT @DavidNir: Love this: @DailyKos community member in CA selling tomatoes out of her garden to support @LUnderwood630's campaign in #IL14!…
2018-08-21 17:19:51,258,71,"📸: Saturday streets for @Carolyn4GA7 (US House: Gwinnett/Forsyth), @sallyharrellga (State Senate: DeKalb/Fulton/Gwi… https://t.co/Dl7QmZMI8f"
2018-08-20 21:36:45,0,107,"RT @Carolyn4GA7: The momentum @Ossoff built last year was inspiring - proving that Democrats can compete here. This year, we’re going to fi…"
2018-08-20 20:42:15,484,175,"Carolyn Bourdeaux is brilliantly qualified &amp; running a strong campaign in GA-07, just east of GA-06. 

That’s Gwinn… https://t.co/Prf5v5QF4t"
2018-08-20 11:28:35,0,27,"RT @mwilsonGA: We’ve got the power squad this morning for our Saturday canvass. Thanks to Xander, @ossoff, and @BeeForGeorgia and our amazi…"
2018-08-18 22:23:18,0,34,"RT @BeeForGeorgia: Knock, knock! I’m hanging out with Xander, one of my favorite little door knockers. He’s campaigned for @ossoff &amp; me — a…"
2018-08-18 17:21:02,0,51,RT @Carolyn4GA7: Thanks to @ossoff for joining us at our canvass launch this morning! So thankful to have such an amazing group of voluntee…
2018-08-14 21:09:11,280,37,".@rembert used to spellbind us with brilliant stories he wrote in seventh grade English class.

This month he wrote… https://t.co/PQbdZP7ypL"
2018-08-14 15:47:12,38,18,"This disturbing investigation (TWI/Africa Eye/@BBCWorld) began as an inquiry into mysterious deaths in Malawi.

Our… https://t.co/7JYTI8P6cr"
2018-08-13 19:24:41,283,110,"Our undercover team, led by @anasglobal, were nearly killed in Malawi investigating a ring of criminals who claim t… https://t.co/eh678O0vse"
2018-07-25 15:07:44,1755,423,"Lucy McBath is a two-time breast cancer survivor and a single mom whose son was murdered in a shooting.

She refuse… https://t.co/hlwDGAbiN9"
2018-07-21 23:44:16,2005,517,"Georgia is excited about @StaceyAbrams at the top of the ticket — you can feel it. 

Offering rare talent and high… https://t.co/hmHjkNqrqH"
2018-07-19 21:52:13,0,38,RT @ChristineForGA: Attended a fundraiser this evening with @KarinLSandiford hosted by Jon @ossoff . Now is the time to engage with your De…
2018-07-19 21:49:28,0,348,"RT @attackerman: Asked if he's considered resignation, Coats pauses for a bit &amp; says: ""That's a place I don't want to go to, publicly. ...…"
