date,favorite_count,retweet_count,text
2018-09-08 21:40:09,32,7,Great picnic in Lancaster this afternoon! Enjoyed talking about how we can work together to #FixPA. https://t.co/npG1AsndKV
2018-09-07 14:11:35,36,15,I visited Dotzel Trucking and Topsoil yesterday to announce my plan to improve our economy in Pennsylvania. Here ar… https://t.co/urL2714z65
2018-09-06 20:55:14,55,20,"Headed back to York this afternoon to inspect some of the recent flood damage. As governor, I pledge to work with m… https://t.co/DSRQCSW8uR"
2018-09-06 16:09:36,39,19,Today I was pleased to announce my plan to empower Pennsylvania's economy. Read the full plan here →… https://t.co/n3rS4LScae
2018-09-05 17:16:42,69,35,"While Tom Wolf blatantly avoids debate and continues to attempt to hide his true agenda from the voters, this websi… https://t.co/s6FLXQUtVG"
2018-09-03 13:57:41,50,20,"Since 1882, the first Monday in September has been dedicated to the massive contributions workers have made to the… https://t.co/vdLnzYH5KS"
2018-08-31 13:51:46,82,46,A single 45 minute debate is not enough for the people of Pennsylvania. I'm eager to participate in the… https://t.co/vEdB8vahm4
2018-08-31 01:19:23,50,9,Tracy and I enjoyed attending the York County Farm Bureau’s annual banquet tonight.  #FixPA https://t.co/sgkEipn51g
2018-08-30 01:15:59,35,10,Great meet &amp; greet up in McKean County tonight. Thanks for having me! https://t.co/HqW8Is8i8P
2018-08-29 14:50:55,55,22,.@jeff_bartos and I have been holding town hall meetings all across the commonwealth so we can hear from voters and… https://t.co/0xKabEEURS
2018-08-29 12:56:53,20,10,#ICYMI - I spent some time in Erie yesterday discussing my platform to improve our education system and make Pennsy… https://t.co/F7T4uhcw73
2018-08-28 23:03:51,53,28,One fired up supporter telling it like he sees it! Appreciate the support!! #FixPA https://t.co/jrWNNM8Vcc
2018-08-28 19:22:50,64,24,I’m not in favor of any more fees or any more taxes until we balance our checkbook. I’m sick and tired of the waste… https://t.co/Ahf0P55kEF
2018-08-28 14:36:23,34,13,I have an education plan that makes investments in our students and teachers WITHOUT RAISING TAXES. I talk about it… https://t.co/wBW9wegofn
2018-08-28 01:55:21,34,6,Thank you to everyone who came out to our town hall meeting in Schuylkill tonight. #FixPA https://t.co/J7qJ26rRxx
2018-08-27 20:43:19,22,9,Took some time in between campaign stops to check out some of the flooding damage up in Susquehanna County today. https://t.co/MGcE0ESv8P
2018-08-26 23:39:29,60,25,Awesome crowd this afternoon at the GOP Clam Bake in Philadelphia. #FixPA https://t.co/oObRF46GOj
2018-08-26 00:37:37,90,16,John McCain was a great American who served our country admirably in so many ways. Tracy and I have the entire McCa… https://t.co/lHtE5RV2kB
2018-08-25 23:33:54,36,14,Was honored to get a chance to wave the starter flag at Jennerstown Speedway tonight! https://t.co/2OoL6yPegc
2018-08-25 21:15:03,27,10,Second stop of the day was the Somerset County Fair. Great to meet some of the men and women who serve in the Penns… https://t.co/B4TSlTjk26
